ra,dec,d
102.2313528,-11.69195218,1369.1024
102.2177261,-11.70417702,1368.0488
102.2039613,-11.71635664,1366.9946
102.1901491,-11.72866901,1365.9397
102.1762901,-11.74089146,1364.8841
102.1623843,-11.753024,1363.8278
102.1484311,-11.76528925,1362.7709
102.1344311,-11.77746458,1361.7132
102.1203383,-11.7896836,1360.6549
102.1061987,-11.80181269,1359.5958
102.0919662,-11.81398545,1358.5361
102.0777323,-11.82615725,1357.4758
102.063497,-11.83832808,1356.4147
102.0491234,-11.85045357,1355.353
102.0346569,-11.86262269,1354.2905
102.0202351,-11.87465722,1353.2275
102.0056743,-11.88686896,1352.1637
101.9911581,-11.89894611,1351.0992
101.9765036,-11.91097786,1350.034
101.9618016,-11.92314218,1348.9681
101.9470527,-11.93521648,1347.9016
101.932257,-11.94720078,1346.8345
101.9174137,-11.9593176,1345.7666
101.9025235,-11.9713444,1344.698
101.8874951,-11.98332574,1343.6288
101.8725104,-11.99539501,1342.5589
101.857479,-12.00737424,1341.4883
101.8423545,-12.01939696,1340.417
101.8270917,-12.03137416,1339.3451
101.8118274,-12.04335028,1338.2724
101.7965616,-12.05532532,1337.1991
101.7812942,-12.06729927,1336.1251
101.7657969,-12.07927219,1335.0504
101.7503896,-12.09119949,1333.9751
101.734844,-12.10308121,1332.899
101.7192969,-12.11496182,1331.8223
101.7036566,-12.12688581,1330.7449
101.6879695,-12.13871969,1329.6668
101.6722345,-12.1506859,1328.588
101.6564527,-12.16256199,1327.5086
101.6405325,-12.17439243,1326.4284
101.6246107,-12.18622171,1325.3476
101.6086874,-12.19804984,1324.2661
101.5926708,-12.20992126,1323.1839
101.5766075,-12.22170253,1322.101
101.5604509,-12.23352706,1321.0175
101.5442476,-12.24526144,1319.9333
101.5280427,-12.25699463,1318.8483
101.5117445,-12.26877104,1317.7628
101.4953995,-12.28045728,1316.6765
101.4790064,-12.2922757,1315.5896
101.4625215,-12.30391496,1314.5019
101.4459883,-12.31568637,1313.4136
101.4294084,-12.32736757,1312.3246
101.4128268,-12.33904754,1311.2349
101.3961068,-12.35068168,1310.1445
101.3793852,-12.36231457,1309.0535
101.3626619,-12.37394622,1307.9618
101.3458002,-12.385532,1306.8693
101.3288451,-12.39716087,1305.7762
101.3118883,-12.40878846,1304.6824
101.2948848,-12.42032581,1303.588
101.2777878,-12.43190621,1302.4928
101.2606893,-12.44348531,1301.397
101.243544,-12.45497416,1300.3004
101.2263052,-12.46650602,1299.2032
101.2090648,-12.47803657,1298.1053
101.1916859,-12.48952115,1297.0067
101.1743053,-12.5010044,1295.9074
101.156878,-12.51239736,1294.8075
101.1394022,-12.52392223,1293.7068
101.1218347,-12.53526785,1292.6055
101.1042187,-12.54674534,1291.5035
101.086556,-12.55813253,1290.4007
101.0688917,-12.56951835,1289.2973
101.0510888,-12.5808581,1288.1932
101.0332842,-12.59219648,1287.0885
101.015341,-12.60348877,1285.983
100.9974411,-12.61486862,1284.8769
100.9794946,-12.62615813,1283.77
100.9614095,-12.63740151,1282.6625
100.9433227,-12.64864348,1281.5542
100.9252342,-12.65988404,1280.4453
100.9070071,-12.67107845,1279.3357
100.8887784,-12.68227143,1278.2254
100.8704559,-12.69350717,1277.1144
100.8520869,-12.70465252,1276.0027
100.8337161,-12.71579644,1274.8903
100.8152517,-12.72698307,1273.7772
100.7967406,-12.73807931,1272.6634
100.7782278,-12.74917409,1271.5489
100.7595765,-12.76022261,1270.4338
100.7409234,-12.77126966,1269.3179
100.7221766,-12.78235937,1268.2013
100.7033832,-12.79335865,1267.084
100.684588,-12.80435645,1265.9661
100.6656992,-12.81539686,1264.8474
100.6467637,-12.82634683,1263.728
100.6278265,-12.8372953,1262.6079
100.6088428,-12.84815333,1261.4871
100.5897653,-12.85905393,1260.3656
100.5705492,-12.86990815,1259.2434
100.5514682,-12.88080571,1258.1205
100.5322039,-12.89156794,1256.9969
100.5128904,-12.90246161,1255.8726
100.4936226,-12.91322076,1254.7476
100.4742162,-12.92393348,1253.6219
100.4548528,-12.93473357,1252.4954
100.4353508,-12.94548721,1251.3683
100.4158023,-12.95615036,1250.2405
100.3962521,-12.96681194,1249.112
100.3766079,-12.97751594,1247.9826
100.3569174,-12.98812945,1246.8526
100.3372251,-12.99874137,1245.7219
100.3173942,-13.00930677,1244.5905
100.2976537,-13.01982659,1243.4584
100.2778193,-13.03038879,1242.3256
100.2578463,-13.04090444,1241.192
100.2378716,-13.05141847,1240.0577
100.2178504,-13.06184197,1238.9227
100.1978276,-13.07226385,1237.787
100.1777108,-13.08272805,1236.6505
100.1575476,-13.0931017,1235.5134
100.1373827,-13.10347372,1234.3754
100.1171714,-13.11375521,1233.2367
100.0968661,-13.12407896,1232.0974
100.0765592,-13.13440106,1230.9573
100.0562058,-13.14463261,1229.8165
100.035714,-13.1548175,1228.675
100.0152649,-13.16508961,1227.5327
99.99472502,-13.17518227,1226.3897
99.97422796,-13.18536216,1225.2459
99.95359232,-13.19549534,1224.1015
99.93291042,-13.20553795,1222.9562
99.91227134,-13.21566776,1221.8103
99.89154149,-13.22561813,1220.6636
99.87076211,-13.23569951,1219.5162
99.849892,-13.24560144,1218.368
99.82906469,-13.25559055,1217.2191
99.80819118,-13.26548909,1216.0694
99.78717912,-13.27534084,1214.919
99.76625774,-13.2851471,1213.7678
99.74524229,-13.29499544,1212.6159
99.7240883,-13.30479696,1211.4633
99.70302501,-13.31455299,1210.3099
99.68186762,-13.32435107,1209.1557
99.66061968,-13.33396969,1208.0008
99.63941449,-13.34367544,1206.8451
99.61816321,-13.35329061,1205.6887
99.59691026,-13.36290406,1204.5314
99.5755188,-13.37247063,1203.3735
99.55408129,-13.38194661,1202.2147
99.5326865,-13.3915097,1201.0552
99.51120131,-13.40089336,1199.8949
99.48975884,-13.41036412,1198.7339
99.46817788,-13.41978797,1197.5721
99.44655094,-13.42912122,1196.4095
99.42492235,-13.43845272,1195.2462
99.40324781,-13.44769363,1194.082
99.38161596,-13.45702163,1192.9171
99.35989387,-13.4661702,1191.7514
99.33807764,-13.47536065,1190.585
99.31635233,-13.48450572,1189.4177
99.2944886,-13.49360382,1188.2496
99.27262326,-13.50270015,1187.0808
99.25071206,-13.5117059,1185.9112
99.22879927,-13.52070989,1184.7408
99.20684066,-13.52962329,1183.5696
99.1847879,-13.53857851,1182.3976
99.16278192,-13.54739958,1181.2248
99.14068179,-13.55626244,1180.0511
99.11858009,-13.56512353,1178.8768
99.09648105,-13.57376169,1177.7015
99.07433206,-13.58253044,1176.5255
99.05213734,-13.59120861,1175.3487
99.02989692,-13.59979621,1174.1709
99.00765498,-13.60838205,1172.9925
98.98541153,-13.61696612,1171.8132
98.96302977,-13.62550313,1170.6331
98.94069503,-13.63390608,1169.4522
98.9183588,-13.64230727,1168.2705
98.89592842,-13.65075018,1167.0879
98.87354513,-13.65905906,1165.9045
98.85102359,-13.66732085,1164.7203
98.82859329,-13.67553743,1163.5352
98.80606883,-13.6837957,1162.3493
98.78359157,-13.69191999,1161.1626
98.76097611,-13.69999719,1159.975
98.73835922,-13.70807262,1158.7865
98.71583363,-13.71610289,1157.5973
98.69316988,-13.72408604,1156.4072
98.67055345,-13.73193528,1155.2162
98.6478429,-13.73982617,1154.0244
98.62513095,-13.7477153,1152.8317
98.6024664,-13.75547056,1151.6381
98.57966374,-13.76317869,1150.4438
98.55695251,-13.77084172,1149.2484
98.53414716,-13.77854637,1148.0523
98.51134536,-13.78602845,1146.8553
98.48858619,-13.79359755,1145.6574
98.46564504,-13.80103077,1144.4587
98.44283933,-13.80850768,1143.259
98.4199884,-13.81589413,1142.0584
98.39709231,-13.82319014,1140.857
98.37415106,-13.83039571,1139.6547
98.35125244,-13.83768829,1138.4515
98.32826482,-13.84480173,1137.2474
98.30536884,-13.85187019,1136.0425
98.28237878,-13.85898023,1134.8366
98.25943652,-13.8659566,1133.6298
98.23635637,-13.87288583,1132.4221
98.21336792,-13.87977012,1131.2135
98.19033448,-13.88656404,1130.0039
98.16729988,-13.89335629,1128.7935
98.14422035,-13.90005817,1127.5822
98.12123258,-13.90671518,1126.3699
98.09810701,-13.91332505,1125.1567
98.07507325,-13.91989007,1123.9426
98.05195088,-13.92627608,1122.7275
98.02887119,-13.93274913,1121.5115
98.00574668,-13.93913187,1120.2946
97.98267034,-13.94538115,1119.0766
97.95950001,-13.95167196,1117.8578
97.9363779,-13.95782934,1116.638
97.91321108,-13.96389644,1115.4173
97.89013624,-13.96991882,1114.1956
97.86696745,-13.97598274,1112.973
97.84384698,-13.98191328,1111.7493
97.82068191,-13.9877536,1110.5246
97.79756524,-13.9934606,1109.2991
97.7743983,-13.9992978,1108.0726
97.75123618,-14.00491305,1106.8451
97.72807317,-14.01052676,1105.6165
97.70495869,-14.01600722,1104.3871
97.68175033,-14.02152923,1103.1566
97.65859055,-14.02691802,1101.9252
97.63547939,-14.03217362,1100.6927
97.61227439,-14.03747077,1099.4593
97.58916162,-14.04272339,1098.2248
97.56596095,-14.04779728,1096.9893
97.54285258,-14.05282668,1095.7529
97.51974345,-14.05785463,1094.5153
97.49659006,-14.0627925,1093.2768
97.4734855,-14.06759732,1092.0373
97.45033674,-14.07231212,1090.7967
97.42728039,-14.0769825,1089.5551
97.40422336,-14.08165149,1088.3125
97.38107873,-14.08614188,1087.0689
97.35797693,-14.09071947,1085.8242
97.33497379,-14.09503259,1084.5784
97.31187696,-14.0993873,1083.3316
97.28882921,-14.10360912,1082.0837
97.26578089,-14.1078296,1080.8348
97.24273831,-14.11182867,1079.5848
97.21973861,-14.11591499,1078.3337
97.19674473,-14.11977995,1077.0816
97.17375036,-14.12364362,1075.8284
97.15084864,-14.12746309,1074.5741
97.12785973,-14.13110419,1073.3188
97.10496353,-14.13470114,1072.0624
97.0820669,-14.13829684,1070.8048
97.05917634,-14.14167134,1069.5462
97.03628541,-14.14504463,1068.2864
97.01339408,-14.1484167,1067.0256
96.99060214,-14.15152479,1065.7637
96.96780986,-14.15463171,1064.5006
96.94501727,-14.15773746,1063.2365
96.92223099,-14.16062217,1061.9712
96.89944444,-14.16350575,1060.7048
96.87684402,-14.16630254,1059.4372
96.85406363,-14.16896403,1058.1686
96.83146944,-14.17153879,1056.8988
96.80883182,-14.17402397,1055.6278
96.786194,-14.17650808,1054.3557
96.763606,-14.17885984,1053.0825
96.74106786,-14.18107927,1051.8081
96.71857963,-14.18316643,1050.5326
96.69609129,-14.18525258,1049.2559
96.6736529,-14.18720648,1047.9779
