ra,dec,d
308.65279,43.17758,971.8564
308.43028,43.10001,983.8091
308.29065,42.98268,995.7635
308.23711,42.82375,1007.7156
308.26967,42.62303,1019.6676
308.38379,42.38204,1031.6294
308.57105,42.10466,1043.6166
308.8177,41.79715,1055.6488
309.10627,41.46833,1067.7459
309.41467,41.12978,1079.923
309.71783,40.79576,1092.1854
309.98872,40.48191,1104.5268
310.19988,40.20523,1116.9276
310.32548,39.9817,1129.3597
310.34338,39.82559,1141.7933
310.23787,39.74652,1154.2077
310.00264,39.7478,1166.6005
309.64354,39.8248,1178.9916
309.18071,39.96342,1191.4192
308.651,40.14043,1203.9252
308.1068,40.3246,1216.5348
307.61285,40.47972,1229.2393
307.2377,40.56907,1241.994
307.0422,40.5617,1254.7385
307.06359,40.43819,1267.435
307.30115,40.19835,1280.1007
307.70566,39.86623,1292.8068
308.18043,39.49286,1305.6289
308.59544,39.15172,1318.5756
308.81547,38.92302,1331.5644
308.73902,38.86889,1344.4913
308.34113,39.00292,1357.3528
307.70917,39.26966,1370.2749
307.04904,39.54813,1383.3624
306.6326,39.68891,1396.5276
306.67282,39.58004,1409.5941
307.16811,39.22073,1422.6074
307.82674,38.76519,1435.7941
308.18116,38.47971,1449.0961
307.88956,38.56735,1462.251
307.0759,38.95013,1475.4406
306.41496,39.24052,1488.8521
107.45999,-9.0677,1361.9688
107.42306,-9.1144,1356.5095
107.38436,-9.16121,1351.0302
107.34392,-9.208,1345.5311
107.3018,-9.25486,1340.0122
107.25781,-9.30165,1334.4736
107.2119,-9.3485,1328.9155
107.16417,-9.39538,1323.3378
107.11452,-9.44233,1317.7407
107.06286,-9.48938,1312.1242
107.00924,-9.53641,1306.4885
106.95356,-9.58347,1300.8337
106.89588,-9.63063,1295.1598
106.83604,-9.67786,1289.4671
106.77411,-9.72523,1283.7554
106.70997,-9.77259,1278.0252
106.64369,-9.82,1272.2764
106.57507,-9.86756,1266.5093
106.50421,-9.91523,1260.7238
106.43106,-9.96292,1254.9203
106.35549,-10.01079,1249.0988
106.27762,-10.05868,1243.2595
106.19727,-10.10667,1237.4026
106.11445,-10.15475,1231.5282
106.02915,-10.20294,1225.6366
105.94138,-10.25121,1219.7278
105.85098,-10.29954,1213.8021
105.75802,-10.34801,1207.8598
105.66243,-10.39652,1201.9009
105.56418,-10.44521,1195.9257
105.46326,-10.49385,1189.9343
105.35963,-10.54258,1183.927
105.25324,-10.5913,1177.904
105.14413,-10.6401,1171.8655
105.03216,-10.68893,1165.8117
104.91743,-10.73775,1159.7427
104.79984,-10.78659,1153.659
104.6794,-10.83546,1147.5606
104.55604,-10.88427,1141.4478
104.42987,-10.93296,1135.3207
104.3007,-10.98162,1129.1797
104.16867,-11.03029,1123.0247
104.03363,-11.07871,1116.8562
103.89577,-11.127,1110.6743
103.75486,-11.17516,1104.4793
103.61094,-11.22305,1098.2712
103.4642,-11.2708,1092.0503
103.31441,-11.3182,1085.8168
103.1617,-11.36527,1079.5708
103.00598,-11.41206,1073.3124
102.84743,-11.45848,1067.0419
102.68587,-11.50439,1060.7593
102.52149,-11.54992,1054.4649
102.35404,-11.59485,1048.1586
102.18382,-11.63926,1041.8406
102.01077,-11.68305,1035.511
101.83493,-11.7261,1029.1697
101.65623,-11.76845,1022.8171
101.4747,-11.80995,1016.4528
101.29057,-11.85061,1010.0771
101.10372,-11.89038,1003.6898
100.91418,-11.92912,997.2909
100.72214,-11.96674,990.8804
100.52752,-12.00329,984.4582
100.33045,-12.03859,978.0243
100.13089,-12.07255,971.5783
99.92894,-12.10511,965.1202
99.72483,-12.13629,958.6497
99.51843,-12.16582,952.1668
99.30974,-12.19369,945.6711
99.09908,-12.21987,939.1624
98.88638,-12.24417,932.6404
98.67173,-12.26656,926.1048
98.45527,-12.28686,919.5551
98.23697,-12.30499,912.9912
98.01702,-12.32085,906.4126
97.79551,-12.33442,899.8188
97.57242,-12.34537,893.2094
97.34792,-12.35386,886.584
97.12208,-12.35953,879.9421
96.8951,-12.36231,873.2832
96.66684,-12.36215,866.6068
96.43759,-12.35893,859.9123
96.20746,-12.35239,853.1993
95.97645,-12.34254,846.4672
95.74467,-12.32913,839.7154
95.51218,-12.31203,832.9433
95.27918,-12.29117,826.1504
95.04567,-12.26634,819.336
94.81186,-12.23746,812.4996
94.57771,-12.20423,805.6408
94.34342,-12.16658,798.7588
94.10896,-12.12444,791.8531
93.87448,-12.07743,784.9232
93.64013,-12.0256,777.9685
93.40593,-11.96853,770.9886
93.17188,-11.90623,763.9829
92.93824,-11.83851,756.951
92.70496,-11.76507,749.8923
92.47207,-11.68571,742.8066
92.23972,-11.60028,735.6935
92.00795,-11.50865,728.5526
91.77679,-11.41041,721.3837
91.54632,-11.30554,714.1862
91.31658,-11.19362,706.9604
91.08769,-11.07448,699.7058
90.85953,-10.9479,692.4224
90.6322,-10.81362,685.1102
90.4058,-10.67119,677.7691
90.18023,-10.52068,670.3992
89.95564,-10.36148,663.0008
89.73189,-10.19336,655.574
89.50915,-10.01604,648.1191
89.28724,-9.82918,640.6365
89.06628,-9.63242,633.1265
88.84618,-9.42539,625.59
88.62696,-9.20776,618.0273
88.40848,-8.97906,610.4393
88.19088,-8.73881,602.8267
87.97396,-8.48666,595.1904
87.75773,-8.22209,587.5316
87.54215,-7.94466,579.8513
87.32709,-7.6538,572.1509
87.11245,-7.349,564.4317
86.89817,-7.02963,556.6952
86.68413,-6.69518,548.9432
86.47017,-6.34486,541.1773
86.25628,-5.97819,533.3997
86.04224,-5.59429,525.6123
85.82784,-5.19256,517.8174
85.61299,-4.77203,510.0176
85.39742,-4.332,502.2156
85.18106,-3.87157,494.414
84.96355,-3.38978,486.6162
84.74472,-2.88562,478.8252
84.52431,-2.35814,471.0446
84.30202,-1.80618,463.2784
84.07753,-1.22858,455.5306
83.85051,-0.62425,447.8055
83.62062,0.00833,440.1078
83.38746,0.67025,432.4424
83.15048,1.36308,424.8148
82.90944,2.08826,417.2309
82.66363,2.84725,409.6966
82.41273,3.64172,402.2185
82.15575,4.47335,394.8037
81.89244,5.34387,387.4597
81.62178,6.25502,380.1946
81.34317,7.20862,373.017
81.0556,8.20666,365.9359
80.7581,9.25087,358.9611
80.44977,10.34332,352.1031
80.12927,11.48575,345.3728
79.79541,12.68023,338.782
79.44681,13.9283,332.343
79.08185,15.23181,326.0689
78.69881,16.5923,319.9734
78.29563,18.01106,314.0711
77.87031,19.48935,308.3771
77.42033,21.0277,302.907
76.94314,22.62677,297.6771
76.43557,24.28637,292.7041
75.8942,26.00592,288.0051
75.31535,27.78442,283.5974
74.69466,29.61969,279.4982
74.02737,31.50929,275.7249
73.30778,33.44957,272.294
72.52972,35.43608,269.222
71.68632,37.4635,266.5241
70.76944,39.52546,264.2146
69.76974,41.61465,262.3063
68.67699,43.72266,260.8102
