ra,dec,d
102.1779963,-11.71804471,1369.2463
102.1643658,-11.73026656,1368.1929
102.1505971,-11.74244317,1367.139
102.1368723,-11.75470785,1366.0842
102.1230094,-11.76692728,1365.0289
102.1090998,-11.77905678,1363.9728
102.095234,-11.79127433,1362.9161
102.0812301,-11.8034466,1361.8587
102.0671334,-11.81566255,1360.8005
102.0530813,-11.82774393,1359.7417
102.0389363,-11.83986899,1358.6822
102.0246985,-11.85203769,1357.622
102.0104592,-11.86420542,1356.5612
101.9961731,-11.87628319,1355.4997
101.9817942,-11.88840458,1354.4374
101.9672769,-11.90048058,1353.3745
101.9528951,-11.91259999,1352.3109
101.9383749,-11.924674,1351.2467
101.9237165,-11.9367026,1350.1816
101.909102,-11.94881916,1349.116
101.8944406,-11.96084573,1348.0496
101.879641,-11.97282685,1346.9827
101.8648852,-11.98489593,1345.915
101.8499911,-11.99691954,1344.8466
101.8350503,-12.00885311,1343.7775
101.8200616,-12.02091917,1342.7078
101.8050262,-12.03289518,1341.6374
101.7899893,-12.04487014,1340.5662
101.7748141,-12.05679956,1339.4945
101.7596373,-12.06872792,1338.422
101.7443675,-12.08069971,1337.3488
101.7290961,-12.09267041,1336.2749
101.713778,-12.10455104,1335.2004
101.6983668,-12.11647508,1334.1252
101.6829088,-12.12830903,1333.0493
101.6673576,-12.14018635,1331.9727
101.651805,-12.15206256,1330.8955
101.6361139,-12.16389313,1329.8175
101.6204665,-12.17581156,1328.7389
101.6047723,-12.18763987,1327.6596
101.5889398,-12.19942252,1326.5796
101.5731057,-12.21120402,1325.4989
101.5571784,-12.22302882,1324.4175
101.5412495,-12.23485245,1323.3354
101.5252738,-12.24658594,1322.2526
101.5092049,-12.25836269,1321.1692
101.4930893,-12.27004928,1320.0851
101.4768804,-12.28177911,1319.0003
101.4606699,-12.29350774,1317.9148
101.4444127,-12.30514621,1316.8286
101.4281073,-12.31691684,1315.7418
101.4116183,-12.3285527,1314.6542
101.3952646,-12.34023194,1313.566
101.3787724,-12.35186537,1312.4771
101.3621869,-12.36354193,1311.3875
101.3455547,-12.37512829,1310.2972
101.3289208,-12.38671342,1309.2062
101.3121936,-12.39834164,1308.1146
101.2954196,-12.40987965,1307.0222
101.2785523,-12.42146073,1305.9292
101.2616833,-12.43304055,1304.8354
101.2447676,-12.44453013,1303.741
101.2277585,-12.45606275,1302.6459
101.2107478,-12.46759409,1301.5501
101.1936904,-12.47903518,1300.4536
101.1765395,-12.49051928,1299.3565
101.1593869,-12.50200207,1298.2586
101.1420959,-12.51343888,1297.16
101.1248031,-12.52487438,1296.0608
101.1074638,-12.5362196,1294.9609
101.0900759,-12.54769673,1293.8602
101.0725963,-12.5589946,1292.7588
101.0550682,-12.57042435,1291.6568
101.0374935,-12.58176379,1290.5541
101.0199171,-12.59310189,1289.4507
101.0022021,-12.60439391,1288.3466
100.9844855,-12.61568457,1287.2418
100.9666304,-12.62692912,1286.1364
100.9489104,-12.63821704,1285.0302
100.9309599,-12.64950304,1283.9233
100.9130548,-12.66065451,1282.8157
100.895056,-12.67184878,1281.7075
100.8770556,-12.68304165,1280.5985
100.8589166,-12.69418836,1279.4888
100.8407759,-12.70533366,1278.3785
100.8225415,-12.7165217,1277.2675
100.8043526,-12.72757522,1276.1557
100.7860699,-12.73867147,1275.0432
100.7676936,-12.74981043,1273.9301
100.7492707,-12.76085901,1272.8162
100.7308461,-12.77190614,1271.7016
100.7123749,-12.78286289,1270.5864
100.69381,-12.7938623,1269.4704
100.6752434,-12.80486026,1268.3537
100.6565382,-12.81581192,1267.2364
100.6378313,-12.8267621,1266.1183
100.6191227,-12.8377108,1264.9995
100.6002755,-12.84861317,1263.88
100.5814266,-12.85951405,1262.7598
100.5625312,-12.8703245,1261.6389
100.5436341,-12.88113346,1260.5173
100.5245984,-12.89189605,1259.3949
100.5055137,-12.9027901,1258.2719
100.4864298,-12.91346074,1257.1481
100.4672968,-12.92426282,1256.0237
100.4481174,-12.93497445,1254.8985
100.4287994,-12.94563965,1253.7726
100.4096166,-12.95634822,1252.646
100.390203,-12.96705434,1251.5187
100.3708351,-12.977626,1250.3906
100.3513734,-12.9882401,1249.2619
100.3319099,-12.99885264,1248.1324
100.3124,-13.0093747,1247.0022
100.2927962,-13.01993918,1245.8713
100.2731461,-13.03041317,1244.7397
100.2534942,-13.04088558,1243.6074
100.2337484,-13.05140037,1242.4743
100.2140484,-13.06178071,1241.3404
100.1942545,-13.07220341,1240.2059
100.1743221,-13.08257955,1239.0707
100.1543879,-13.09295407,1237.9347
100.1345442,-13.10328308,1236.798
100.1144697,-13.1136094,1235.6606
100.0944858,-13.1238902,1234.5223
100.0743633,-13.13412438,1233.3833
100.0542391,-13.14435695,1232.2438
100.0341131,-13.15458788,1231.1033
100.0138487,-13.16477217,1229.9622
99.9935379,-13.17486593,1228.8204
99.97326999,-13.18504694,1227.6778
99.95291129,-13.19504854,1226.5345
99.93259544,-13.20513738,1225.3904
99.91214104,-13.21517953,1224.2456
99.89164043,-13.22513114,1223.1
99.8710903,-13.23521379,1221.9537
99.8505418,-13.24507321,1220.8066
99.82994377,-13.25506365,1219.6589
99.80925507,-13.26487467,1218.5103
99.78860917,-13.27477289,1217.361
99.76791712,-13.28458057,1216.211
99.74708655,-13.29434149,1215.0601
99.72625431,-13.30410072,1213.9085
99.7054204,-13.31385826,1212.7562
99.68454039,-13.32352526,1211.6032
99.66365871,-13.33319057,1210.4493
99.64268296,-13.34289793,1209.2947
99.62161672,-13.35242588,1208.1394
99.60059323,-13.36204098,1206.9832
99.5795237,-13.37156553,1205.8263
99.55845252,-13.38108838,1204.6686
99.53724287,-13.39056437,1203.5101
99.51607968,-13.39990612,1202.3509
99.49486675,-13.4093787,1201.1909
99.4735635,-13.41867187,1200.0301
99.45230296,-13.42805218,1198.8686
99.43090398,-13.43738559,1197.7063
99.40955155,-13.44658479,1196.5432
99.38810502,-13.45582593,1195.3793
99.36661257,-13.4649765,1194.2146
99.34516282,-13.47421418,1193.0491
99.32362289,-13.48327248,1191.8829
99.30208138,-13.49232906,1190.7158
99.2805383,-13.50138391,1189.548
99.25894938,-13.51034822,1188.3793
99.23726633,-13.5193544,1187.2099
99.21553746,-13.52827002,1186.0397
99.19389962,-13.53714034,1184.8687
99.17212342,-13.54596369,1183.6968
99.15034568,-13.55478531,1182.5242
99.12852218,-13.56351639,1181.3508
99.10669717,-13.57224574,1180.1764
99.08477801,-13.5810169,1179.0014
99.06286158,-13.58956517,1177.8255
99.04098782,-13.59820053,1176.6488
99.01897575,-13.60678887,1175.4713
98.99701068,-13.61524317,1174.2928
98.97495148,-13.62373925,1173.1137
98.95298344,-13.6321901,1171.9337
98.93087714,-13.64059392,1170.7528
98.90872526,-13.64890722,1169.5712
98.8866646,-13.65717532,1168.3887
98.86450982,-13.66548517,1167.2054
98.84230949,-13.6737045,1166.0212
98.82006365,-13.68183333,1164.8363
98.7979091,-13.68991701,1163.6504
98.77566043,-13.6980424,1162.4636
98.75336629,-13.70607729,1161.2762
98.73102671,-13.7140217,1160.0877
98.70868574,-13.72196439,1158.8985
98.68643613,-13.72986197,1157.7084
98.6640484,-13.73771247,1156.5174
98.6416153,-13.74547251,1155.3256
98.61927361,-13.75318746,1154.1329
98.59683782,-13.76094408,1152.9393
98.57435671,-13.76861025,1151.7449
98.55192309,-13.77614261,1150.5496
98.52939538,-13.78371663,1149.3534
98.50695915,-13.79124561,1148.1564
98.48434096,-13.79863876,1146.9584
98.46185823,-13.80607563,1145.7596
98.43928639,-13.81333335,1144.5599
98.41675721,-13.82067814,1143.3593
98.39409005,-13.82797581,1142.1577
98.37147058,-13.83513979,1140.9553
98.34889885,-13.84217009,1139.7521
98.32627695,-13.84933074,1138.5479
98.30356612,-13.85631229,1137.3428
98.28094696,-13.86324892,1136.1368
98.25823375,-13.87022716,1134.9299
98.23556841,-13.8770718,1133.7221
98.2128581,-13.88382609,1132.5133
98.19014665,-13.89057875,1131.3036
98.16739027,-13.89724108,1130.093
98.14472568,-13.90385857,1128.8815
98.12192329,-13.91042897,1127.669
98.09921272,-13.91695454,1126.4556
98.07645731,-13.92338982,1125.2413
98.05370084,-13.92982351,1124.0261
98.03085582,-13.93607823,1122.8099
98.00814644,-13.94237688,1121.5927
97.98529936,-13.94862843,1120.3746
97.9625005,-13.95474657,1119.1556
97.9397936,-13.96082,1117.9355
97.91694906,-13.96684635,1116.7146
97.89415284,-13.97273935,1115.4926
97.8712627,-13.97867393,1114.2697
97.84855756,-13.98452073,1113.0458
97.82571486,-13.99032046,1111.8209
97.80292058,-13.99598691,1110.595
97.78008177,-14.00156319,1109.3682
97.75728572,-14.00722663,1108.1404
97.73440155,-14.01271126,1106.9116
97.71160954,-14.01815133,1105.6818
97.68877309,-14.02350129,1104.4511
97.66602885,-14.02880671,1103.2193
97.64324023,-14.03402204,1101.9865
97.62040724,-14.0391473,1100.7527
97.59757349,-14.04427111,1099.5179
97.57483202,-14.04935045,1098.2821
97.55200271,-14.05425112,1097.0452
97.52926575,-14.05910737,1095.8074
97.50643501,-14.06400522,1094.5685
97.48374619,-14.06872705,1093.3286
97.46092011,-14.07340189,1092.0876
97.43814295,-14.07794376,1090.8456
97.41545825,-14.08244129,1089.6026
97.39277292,-14.08693747,1088.3585
97.37000003,-14.09125512,1087.1134
97.34736312,-14.09561707,1085.8672
97.32463872,-14.09980052,1084.62
97.30191376,-14.10398266,1083.3716
97.27923794,-14.10803198,1082.1222
97.25665472,-14.11203708,1080.8718
97.23398417,-14.11586376,1079.6203
97.21135654,-14.11977775,1078.3677
97.18873477,-14.12347044,1077.114
97.16611255,-14.1271619,1075.8592
97.14358304,-14.13080922,1074.6034
97.12105952,-14.13423533,1073.3464
97.09853561,-14.13766024,1072.0884
97.0760113,-14.14108396,1070.8293
