ra,dec,d
112.8029279,-6.268484026,1369.2463
112.820719,-6.264644314,1368.1929
112.838551,-6.260668789,1367.139
112.85643,-6.256780017,1366.0842
112.87435,-6.252755427,1365.0289
112.8922222,-6.248642295,1363.9728
112.9101414,-6.244615901,1362.9161
112.9281015,-6.240453694,1361.8587
112.9461499,-6.236243298,1360.8005
112.9640619,-6.231991663,1359.7417
112.9820622,-6.22769184,1358.6822
113.0001507,-6.223343819,1357.622
113.0182388,-6.218994889,1356.5612
113.0362791,-6.214557449,1355.4997
113.0544077,-6.210071801,1354.4374
113.0725771,-6.205450345,1353.3745
113.0907048,-6.20096288,1352.3109
113.1088734,-6.196339609,1351.2467
113.1270828,-6.191580533,1350.1816
113.1453392,-6.186908122,1349.116
113.1635477,-6.182147231,1348.0496
113.1817971,-6.177250542,1346.9827
113.2000934,-6.172440503,1345.915
113.2184305,-6.16749466,1344.8466
113.2367198,-6.162460363,1343.7775
113.2551446,-6.157465353,1342.7078
113.2735216,-6.152381891,1341.6374
113.2918981,-6.147297519,1340.5662
113.3103154,-6.142077355,1339.4945
113.3287322,-6.136856284,1338.422
113.3472372,-6.131586937,1337.3488
113.3657416,-6.126316675,1336.2749
113.3841983,-6.120957997,1335.2004
113.402743,-6.115551034,1334.1252
113.4212398,-6.110055668,1333.0493
113.4398248,-6.104512013,1331.9727
113.4584092,-6.098967448,1330.8955
113.4770344,-6.093287103,1329.8175
113.4957064,-6.087693322,1328.7389
113.5143306,-6.082011158,1327.6596
113.5329954,-6.076193223,1326.5796
113.5516597,-6.070374383,1325.4989
113.5704121,-6.064507227,1324.4175
113.5891639,-6.058639159,1323.3354
113.6078678,-6.052682741,1322.2526
113.6266598,-6.046677999,1321.1692
113.6454039,-6.040584922,1320.0851
113.6642359,-6.034443517,1319.0003
113.6830674,-6.028301206,1317.9148
113.7018511,-6.02207058,1316.8286
113.72077,-6.015879022,1315.7418
113.7396822,-6.009464308,1314.6542
113.7585527,-6.003183539,1313.566
113.7774638,-5.996767028,1312.4771
113.7964629,-5.990302163,1311.3875
113.815414,-5.983749015,1310.2972
113.8343645,-5.977194974,1309.2062
113.853403,-5.970592572,1308.1146
113.8723936,-5.963901909,1307.0222
113.891472,-5.957162882,1305.9292
113.9105499,-5.950422958,1304.8354
113.9295799,-5.943594795,1303.741
113.9486977,-5.936718261,1302.6459
113.9678149,-5.929840835,1301.5501
113.9868842,-5.922875191,1300.4536
114.0060414,-5.915861171,1299.3565
114.025198,-5.908846263,1298.2586
114.0443951,-5.901695655,1297.16
114.0635916,-5.894544165,1296.0608
114.0827401,-5.887304496,1294.9609
114.1020238,-5.880103733,1293.8602
114.1212122,-5.87272751,1292.7588
114.1405358,-5.86539018,1291.6568
114.1598114,-5.857964692,1290.5541
114.1790864,-5.850538332,1289.4507
114.1984018,-5.842976306,1288.3466
114.2177166,-5.835413414,1287.2418
114.2370718,-5.827714866,1286.1364
114.2563854,-5.820150243,1285.0302
114.2758278,-5.812402425,1283.9233
114.2951338,-5.804614056,1282.8157
114.3145276,-5.796777286,1281.7075
114.3339207,-5.788939662,1280.5985
114.3533542,-5.780966408,1279.4888
114.3727871,-5.772992306,1278.3785
114.3923078,-5.764969789,1277.2675
114.411692,-5.75690679,1276.1557
114.431164,-5.748795383,1275.0432
114.4507237,-5.740635557,1273.9301
114.4702354,-5.732387704,1272.8162
114.4897464,-5.724139016,1271.7016
114.5092094,-5.715802327,1270.5864
114.5287602,-5.707417225,1269.4704
114.5483103,-5.699031294,1268.3537
114.5679007,-5.690509792,1267.2364
114.5874904,-5.681987467,1266.1183
114.6070795,-5.673464321,1264.9995
114.626709,-5.664805618,1263.88
114.6463377,-5.656146101,1262.7598
114.6659184,-5.647398654,1261.6389
114.6854984,-5.638650407,1260.5173
114.7051187,-5.629766635,1259.3949
114.7248741,-5.620921544,1258.2719
114.7444457,-5.611949085,1257.1481
114.7641524,-5.603015302,1256.0237
114.783811,-5.593993643,1254.8985
114.8035098,-5.58483649,1253.7726
114.8231671,-5.575813265,1252.646
114.8429529,-5.566606912,1251.5187
114.8626024,-5.55736037,1250.3906
114.8823395,-5.548065415,1249.2619
114.9020759,-5.538769693,1248.1324
114.9217642,-5.529386169,1247.0022
114.9415402,-5.519954233,1245.8713
114.9612681,-5.510434517,1244.7397
