ra,dec,d
115.55794,-5.200007911,1205.543
115.5781304,-5.188630129,1204.3861
115.5982728,-5.17716494,1203.2286
115.6183671,-5.165612369,1202.0704
115.638508,-5.154146025,1200.9113
115.6585535,-5.142505528,1199.7515
115.6786457,-5.130951261,1198.5909
115.6987781,-5.119261891,1197.4296
115.7188623,-5.107485203,1196.2675
115.7389459,-5.095707979,1195.1046
115.7589815,-5.083843468,1193.941
115.7791519,-5.072017406,1192.7766
115.7991387,-5.060065111,1191.6114
115.819213,-5.048064532,1190.4455
115.8392867,-5.036063448,1189.2788
115.8593123,-5.023975144,1188.1112
115.8793372,-5.011886354,1186.943
115.8993141,-4.999710374,1185.7739
115.9193785,-4.98748613,1184.6041
115.9393949,-4.975174724,1183.4334
115.9593225,-4.962910662,1182.262
115.9792902,-4.950511672,1181.0899
115.9992573,-4.938112244,1179.9168
116.0192237,-4.92571238,1178.7431
116.039183,-4.913090963,1177.5684
116.0591008,-4.900603596,1176.3931
116.0789706,-4.888029172,1175.2169
116.0988806,-4.875319899,1174.0398
116.1187018,-4.862658056,1172.862
116.1386105,-4.84994801,1171.6834
116.1584712,-4.837150968,1170.504
116.178284,-4.824266952,1169.3238
116.1980962,-4.811382585,1168.1427
116.2179077,-4.798497868,1166.9609
116.2376714,-4.785526219,1165.7782
116.2573871,-4.772467662,1164.5947
116.2771021,-4.759408791,1163.4104
116.2968166,-4.746349606,1162.2252
116.3165713,-4.733155717,1161.0393
116.33619,-4.719922822,1159.8524
116.3558081,-4.706689649,1158.6648
116.3755138,-4.693408356,1157.4763
116.3950834,-4.680088105,1156.287
116.4146933,-4.66663323,1155.0968
116.4342145,-4.65322596,1153.9058
116.4537351,-4.639818451,1152.7139
116.473296,-4.626276356,1151.5212
116.492721,-4.612695401,1150.3277
116.5121454,-4.599114243,1149.1333
116.5316574,-4.585485026,1147.9381
116.5509861,-4.571730528,1146.7419
116.5703617,-4.558062326,1145.5449
116.5897302,-4.54417317,1144.3471
116.6090574,-4.530418175,1143.1483
116.6283368,-4.516576579,1141.9486
116.6475685,-4.502648405,1140.7482
116.6667524,-4.488633677,1139.5468
116.6859831,-4.474705259,1138.3446
116.7051187,-4.460603893,1137.1415
116.7242539,-4.446502436,1135.9375
116.7433006,-4.432448765,1134.7326
116.7623876,-4.418260744,1133.5268
116.7814268,-4.403986269,1132.3201
116.8003776,-4.389759619,1131.1125
116.8192807,-4.375446552,1129.904
116.8381834,-4.361133454,1128.6946
116.8570384,-4.346733972,1127.4843
116.8758929,-4.332334479,1126.2731
116.8946999,-4.317848635,1125.0609
116.9135064,-4.303362799,1123.8479
116.93213,-4.288752205,1122.634
116.9508005,-4.274227974,1121.4191
116.9694234,-4.259617462,1120.2033
116.9879986,-4.244920693,1118.9865
117.0065735,-4.230223989,1117.7687
117.0251009,-4.21544106,1116.5502
117.0434926,-4.200619823,1115.3306
117.0618841,-4.18579869,1114.11
117.0802752,-4.170977663,1112.8886
117.0986187,-4.15607048,1111.6661
117.1168268,-4.14112506,1110.4427
117.1349873,-4.126093534,1109.2184
117.1532828,-4.111100515,1107.9931
117.1713075,-4.096030965,1106.7668
117.18942,-4.080913698,1105.5395
117.2073971,-4.06575829,1104.3114
117.2253739,-4.050603081,1103.0821
117.2433033,-4.035361867,1101.852
117.2610972,-4.020082571,1100.6208
117.278891,-4.004803512,1099.3887
117.2966845,-3.989524693,1098.1556
117.3142955,-3.974121655,1096.9214
117.3319943,-3.95867099,1095.6863
117.3495169,-3.943316404,1094.4501
117.3670802,-3.927828035,1093.213
117.3845082,-3.91230171,1091.9748
117.4018889,-3.896689551,1090.7357
117.4191814,-3.881125624,1089.4955
117.4364738,-3.865562029,1088.2543
117.4536719,-3.849826515,1087.012
117.470829,-3.834225389,1085.7688
117.4878917,-3.818452391,1084.5245
117.5049543,-3.802679776,1083.2791
117.5218818,-3.786869352,1082.0327
117.5388091,-3.77105933,1080.7853
117.5555543,-3.755125443,1079.5368
117.5723465,-3.739278072,1078.2872
117.5889565,-3.72330688,1077.0366
117.6055665,-3.707336142,1075.7849
117.6221764,-3.69136586,1074.5322
117.6386043,-3.675271831,1073.2784
117.6549442,-3.659226191,1072.0235
117.671372,-3.643133139,1070.7676
117.6875299,-3.626964312,1069.5105
117.7036877,-3.610796006,1068.2524
117.7198457,-3.594628223,1066.9932
117.7358216,-3.578336834,1065.7329
117.7517097,-3.562093898,1064.4714
117.7675978,-3.545851516,1063.2089
117.783392,-3.529437699,1061.9453
117.7990983,-3.513072365,1060.6805
117.8147168,-3.496755514,1059.4147
117.8302414,-3.480267296,1058.1477
117.8456782,-3.46382759,1056.8796
117.8610682,-3.447302536,1055.6104
117.8763704,-3.430826008,1054.34
117.8915378,-3.414312052,1053.0685
117.9066585,-3.397712797,1051.7958
117.9216444,-3.381076153,1050.522
117.9365426,-3.364488072,1049.2471
117.951394,-3.347814739,1047.971
117.9661108,-3.33110406,1046.6937
117.9808279,-3.314394083,1045.4152
117.9954103,-3.297646786,1044.1356
118.0098581,-3.280862184,1042.8549
118.0242593,-3.263992412,1041.5729
118.038485,-3.247219146,1040.2898
118.052664,-3.230360733,1039.0055
118.0667964,-3.213417194,1037.72
118.0807064,-3.196484301,1036.4333
118.0946167,-3.179552187,1035.1454
118.1083926,-3.162582861,1033.8563
118.122122,-3.145528468,1032.566
118.1356759,-3.12857062,1031.2745
118.1491365,-3.111441876,1029.9817
118.1625095,-3.094361826,1028.6878
118.175883,-3.077282601,1027.3926
118.1889873,-3.060128266,1026.0962
118.2020921,-3.042974776,1024.7986
118.2149747,-3.025832031,1023.4997
118.2278109,-3.008604323,1022.1996
118.2405129,-2.991339526,1020.8982
118.2532154,-2.974075605,1019.5956
118.2656957,-2.956822463,1018.2917
118.2780418,-2.939532257,1016.9866
118.2903417,-2.922157152,1015.6802
118.3025074,-2.90474501,1014.3725
118.3145857,-2.887381622,1013.0636
118.326442,-2.870029049,1011.7533
118.3382522,-2.852591618,1010.4418
118.3499282,-2.835117181,1009.129
118.361517,-2.817691509,1007.815
118.3730129,-2.800095255,1006.4996
118.3843336,-2.782595607,1005.183
118.3955203,-2.765058981,1003.865
118.4065731,-2.747485386,1002.5457
118.4174918,-2.729874828,1001.2252
118.4283234,-2.71231305,999.9032
118.439021,-2.694714317,998.5801
118.449626,-2.676945099,997.2555
118.4600559,-2.659272483,995.9297
118.4703519,-2.641562932,994.6025
118.4804729,-2.623949968,993.274
118.4905012,-2.606166559,991.9441
118.5004425,-2.588431936,990.6129
118.5102033,-2.570574694,989.2803
118.5197891,-2.552814031,987.9465
118.5293291,-2.534968663,986.6112
118.5386475,-2.517134174,985.2746
118.5478321,-2.499262775,983.9366
118.5570177,-2.481392374,982.5973
118.5658471,-2.463494943,981.2566
118.5746308,-2.445512834,979.9145
118.5833276,-2.427579498,978.571
118.5918028,-2.409657024,977.2261
118.6001444,-2.391697643,975.8799
118.6083525,-2.373701357,974.5323
118.616427,-2.355668167,973.1833
