ra,dec,d,start_times,end_times
322.54932,47.69214,561.9,2024-01-14T11:55:55Z,2024-01-15T11:55:55Z
319.46071,56.05323,748.7,2024-01-14T11:55:55Z,2024-01-15T11:55:55Z
322.08509,58.72813,450.6,2024-01-14T11:55:55Z,2024-01-15T11:55:55Z
337.89712,59.26627,452.7,2024-01-14T11:55:55Z,2024-01-15T11:55:55Z
344.89087,64.61476,391.5,2024-01-14T11:55:55Z,2024-01-15T11:55:55Z
338.24101,70.87195,339.2,2024-01-14T11:55:55Z,2024-01-15T11:55:55Z
1.42677,53.05514,424.3,2024-01-14T11:55:55Z,2024-01-15T11:55:55Z
103.18106,27.70806,310.7,2024-01-14T11:55:55Z,2024-01-15T11:55:55Z
110.79183,14.55114,409.4,2024-01-14T11:55:55Z,2024-01-15T11:55:55Z
109.52772,10.17012,375.7,2024-01-14T11:55:55Z,2024-01-15T11:55:55Z
108.57459,10.04063,352.5,2024-01-14T11:55:55Z,2024-01-15T11:55:55Z
107.91905,3.06939,409.2,2024-01-14T11:55:55Z,2024-01-15T11:55:55Z
118.47236,7.77879,300.6,2024-01-14T11:55:55Z,2024-01-15T11:55:55Z
95.08397,-9.75754,1016.0,2024-01-14T11:55:55Z,2024-01-15T11:55:55Z
101.9611,-7.26401,838.1,2024-01-14T11:55:55Z,2024-01-15T11:55:55Z
101.23756,-10.9658,666.9,2024-01-14T11:55:55Z,2024-01-15T11:55:55Z
95.51891,-10.63979,976.7,2024-01-14T11:55:55Z,2024-01-15T11:55:55Z
100.10314,-14.38113,1174.1,2024-01-14T11:55:55Z,2024-01-15T11:55:55Z
