ra,dec,d,start_times,end_times
99.91728,-14.46833,1144.6,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
104.76444,8.84164,358.3,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
102.72353,12.84589,352.2,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
102.76816,11.42002,333.7,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
3.22755,56.47237,430.2,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
349.07548,62.79127,377.1,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
102.86217,13.24692,332.3,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
103.22582,9.19216,336.9,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
104.12025,15.06742,332.0,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
93.90208,-11.72618,923.5,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
100.03731,-15.39871,1191.6,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
323.16678,77.50406,257.6,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
306.5531,39.66103,1032.1,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
102.98484,19.81916,396.2,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
308.31603,40.16246,957.7,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
99.60282,5.67314,300.1,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
307.3583,38.47394,1023.3,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
317.20524,47.46192,744.3,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
335.68375,61.05463,452.2,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
102.28691,7.26613,437.8,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
206.52103,81.56865,179.8,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
98.71127,-14.81083,1124.9,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
93.22074,-11.72016,985.1,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
307.70396,37.65791,995.5,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
110.964,13.01692,337.8,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
338.02804,53.84712,453.5,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
100.04131,2.86113,240.8,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
307.2658,31.87541,1062.3,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
356.1542,53.16525,419.9,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
359.96637,53.90578,398.4,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
307.44773,41.63527,993.1,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
307.28345,38.39293,979.5,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
307.0674,39.87004,957.4,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
92.09988,-9.87936,921.0,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
103.19655,0.65798,404.4,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
320.44796,47.43263,619.8,2023-12-29T11:55:55Z,2023-12-30T11:55:55Z
